,Subject,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,Mean_RMSE,STD_RMSE,Mean_MAE,STD_MAE
0,540,18.99233955028111,13.992034139402561,19.04789202540964,14.06941678520626,18.981708646955223,14.114082503556189,18.79903450806124,13.87823613086771,18.957502821548477,14.021337126600285,19.12882135792442,14.09615931721195,18.935294477665334,13.972972972972974,19.000763629185442,14.015078236130869,19.23881508019401,14.245803698435278,19.415381563383658,14.286770981507823,19.049755366060854,0.17335925848644232,14.069189189189192,0.12390350999106435
1,544,16.75411767899747,11.458495231367008,16.392667072007015,11.230307311903921,16.289872420705702,11.300600494524902,16.55294535724685,11.517484987636877,16.572885807166873,11.41363475803603,16.383894617149387,11.320734722712823,16.46736601318565,11.280819498410455,16.733622718435445,11.487813493465207,16.545368089826066,11.291416460614624,16.61354539218096,11.41999293535853,16.53062851669014,0.15020729174345032,11.372129989403039,0.09927912641831609
2,552,15.47228001084244,11.32420091324201,15.4075396788041,11.349107513491075,15.520564432354876,11.577833125778332,15.594514261492364,11.586550435865504,15.448047616978068,11.39601494396015,15.560431345604474,11.437110834371108,15.371327483102332,11.242424242424242,15.55289318772957,11.429223744292237,15.486104324464376,11.38522208385222,15.60694037266004,11.453715234537153,15.502064271403261,0.07885653272682155,11.418140307181403,0.1062760972228031
3,567,20.21408702760621,13.910737386804657,20.383832976909186,14.057783527382492,20.16923867860448,14.065114273393704,20.432315508360865,14.176369124622683,20.494090903632802,14.030185424752048,20.5339462731161,14.140577835273826,20.211921646094336,13.959465286761535,20.246667750042107,14.016386373436827,20.466360877180403,14.0620957309185,20.571051891867473,14.214316515739544,20.372351353341394,0.14937539322010757,14.06330314790858,0.0936613961068401
4,584,21.888543352043914,15.3859992178334,22.150461416106474,15.477512710207273,21.953803668215265,15.310129057489245,21.759987749887276,15.306218224481814,22.219485013711285,15.499804458349628,21.769124892657032,15.24560031286664,21.797410444195922,15.325772389518967,21.989509355716038,15.290574892452092,21.762818248447935,15.357450136879155,21.980855253003696,15.449745795854517,21.927199939398484,0.16365749734286872,15.364880719593273,0.08583662257706913
5,596,15.886013978196045,11.113636363636363,15.932306293766256,11.134920634920634,16.020279356158266,11.24891774891775,16.00124003131265,11.32034632034632,16.138559491265088,11.314574314574315,16.035764501443115,11.240981240981242,16.002175627695905,11.134559884559884,16.064702777352444,11.262987012987013,16.111175797252837,11.2012987012987,16.16160049151477,11.264430014430014,16.035381834595736,0.08731366858079061,11.223665223665225,0.07466903112685269
