,Subject,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,Mean_RMSE,STD_RMSE,Mean_MAE,STD_MAE
0,540,33.50755284351538,25.422955523672883,33.12709753517103,25.077474892395983,33.8080156549465,25.692969870875178,33.86554560818456,25.539167862266858,34.75135289419744,26.31822094691535,33.343974867602476,25.40573888091822,34.09148801734428,25.819799139167863,33.60123571547461,25.47919655667145,34.194598816703405,25.894978479196556,33.425541999535284,25.25767575322812,33.771640395267504,0.47935971742053807,25.590817790530846,0.35536524066089953
1,544,28.103262687961795,20.237263982899893,27.629231279391973,20.43605272532953,27.375855744327623,19.830067687923048,28.071984926739876,20.142500890630565,28.729541132183705,20.411827573922338,27.79679687728388,20.342002137513358,28.141621083241322,20.418952618453865,27.74999719170528,20.161382258639115,27.5632769430446,20.006412540078376,27.7776491308425,19.918418240114,27.893921699672255,0.38392578796247545,20.190488065550404,0.2179684704598393
2,552,26.55591943924878,19.947903430749683,26.799378576370522,20.404913172384582,26.895990861814276,19.995764506565013,26.80421430069996,19.913595933926302,27.457340521186676,20.330792037272342,27.12973365359869,20.520542143159677,27.10754773915055,20.381194409148666,26.549746327827755,20.018212621770438,26.689232299029566,20.05336721728081,27.184562228392487,20.373570520965693,26.917366594731924,0.29613238088598237,20.19398559932232,0.22761555555936636
3,567,34.796130460121375,24.98052235502435,35.18013469184985,25.272687029659142,35.2374730110631,25.00929614873838,34.91620272776055,24.98273572377158,35.41182491707401,25.09517485613103,34.570590381780335,25.116865869853918,35.06003830527346,25.25409473218238,35.22802468044771,25.35369632580788,34.689548327551684,24.91766268260292,35.213646294405514,25.088977423638777,35.03036137973276,0.27483849643395003,25.107171314741034,0.14427700429790813
4,584,35.25304522892292,25.7631473303894,35.16147873044365,25.522681653954237,35.34642458625362,25.804897631473303,35.38839950818777,25.79606583701325,36.422577819672625,26.566439181051788,34.669443218127945,25.356081894821358,35.16028561408554,25.55600160578081,35.58097836875823,25.78442392613408,35.810991855793446,26.02408671216379,36.18594092120961,26.53512645523886,35.49795658514554,0.5208700279517899,25.870895222802083,0.40317319343726804
5,596,27.065921424627362,19.425641025641024,26.907180026831817,19.75897435897436,26.268743526230683,18.73992673992674,26.660221290668222,19.046520146520148,27.015258203914613,19.063736263736264,26.786450295138387,19.312454212454213,27.250183989700464,19.53956043956044,26.73994282201333,19.291208791208792,26.823128448788736,19.21868131868132,26.45290237301087,19.103296703296703,26.79699324009245,0.2901506793508727,19.25,0.2863805330112406
