,Subject,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,Mean_RMSE,STD_RMSE,Mean_MAE,STD_MAE
0,540,33.6973185482725,25.690673828125,34.28518273077763,26.177331924438477,33.54618180175745,25.63443374633789,33.933706840852764,25.849353790283203,33.756363332410196,25.711334228515625,33.80765474757529,25.78737449645996,33.79958199688367,25.73113250732422,34.02439454021372,26.02381706237793,33.809501585514944,25.730846405029297,33.93655579660283,25.92453384399414,33.8596441920861,0.20103240959380936,25.826083183288574,0.17013882529291577
1,544,27.699704341481134,20.382259368896484,27.307593282435313,19.83576774597168,26.61065258603568,19.6857852935791,27.020555371747196,19.933025360107422,27.64051790362237,20.246170043945312,27.652417416291904,20.250089645385742,27.652328023462825,20.4495906829834,27.273359173476756,20.058425903320312,27.668600482075682,20.211257934570312,27.368013788196933,20.483078002929688,27.389374236882578,0.35570278983565884,20.153544998168947,0.2681696062337716
2,552,28.67342255700935,21.448537826538086,28.688788225092722,21.249893188476562,28.466116053715403,21.448963165283203,28.52962413220686,21.310884475708008,28.368021237059345,21.2020320892334,28.37942537592981,21.18339729309082,27.95694692464927,21.18085479736328,28.701644967285848,21.531978607177734,28.46552105041949,21.191444396972656,28.152223153012823,21.32020378112793,28.438173367638093,0.24018008663110604,21.306818962097168,0.12901927524985884
3,567,36.22221288180344,26.187694549560547,36.114954201717985,25.884462356567383,35.44248235753334,25.74546241760254,36.58116844451015,26.467906951904297,36.411741806816245,26.325807571411133,35.71963684102468,25.891544342041016,35.91375914191001,26.23019027709961,36.22905004803207,26.316511154174805,36.07213232495066,26.0628604888916,35.366511859848615,25.723329544067383,36.00736499081472,0.3979363164439327,26.083576965332032,0.26120053090526907
4,584,36.14800778461899,26.368526458740234,36.45580385570486,26.685266494750977,35.65547284976915,26.116418838500977,36.24940900649709,26.514251708984375,36.51483605266666,26.491769790649414,35.840965794765665,26.241670608520508,35.68508844194414,26.160980224609375,36.07239966481472,26.49056625366211,36.4577760374073,26.567241668701172,34.875554781093626,25.46045684814453,35.995531426928224,0.5032188146396935,26.30971488952637,0.35021564360298907
5,596,26.25828319832501,19.046886444091797,26.35185317991175,18.954944610595703,26.49614644372248,19.22673988342285,26.173924826443443,19.064102172851562,26.09223540701632,18.919048309326172,26.1606342465103,19.016117095947266,26.479524583495994,19.420146942138672,26.656895691183266,19.27435874938965,26.081381565313382,18.831867218017578,26.656778918404367,19.460805892944336,26.34076580603263,0.2209717622927759,19.12150173187256,0.21378636747977148
