,Subject,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,Mean_RMSE,STD_RMSE,Mean_MAE,STD_MAE
0,540,33.5214101213454,25.560976028442383,32.97237280154497,25.164705276489258,34.11190153263044,25.95294189453125,33.832090558558455,25.71449089050293,34.239375561875946,26.152366638183594,33.334175200957425,25.347488403320312,33.68164736381855,25.69239616394043,33.31993057371969,25.28177833557129,33.51903391754639,25.445911407470703,33.09931197358942,25.303298950195312,33.56312496055867,0.41153059899401273,25.561635398864745,0.3170015739453974
1,544,28.322597968125425,21.103670120239258,27.568730694563634,20.258638381958008,28.104587861890426,20.025293350219727,27.921374418428304,20.243677139282227,27.628212306162247,20.46241569519043,27.984148170493327,20.565372467041016,27.745927391536334,20.40220832824707,27.70775350857928,20.113643646240234,27.381528589729175,19.91556739807129,28.425848617568242,21.27217674255371,27.87907095270764,0.3355322675833228,20.436266326904295,0.4441521281736732
2,552,28.23812643692865,21.613723754882812,26.806291621703522,20.5798397064209,27.409278623989724,20.457857131958008,27.231979150927728,20.463363647460938,27.218988813892064,20.72257423400879,26.79972652466579,20.36764144897461,26.52300372436161,20.235492706298828,27.297449639772896,20.542566299438477,27.10603252989487,20.42100715637207,26.93371923692667,20.872087478637695,27.15645963030635,0.46746485389737585,20.62761535644531,0.39023347251011214
3,567,35.45460724369525,25.779991149902344,34.94673157609396,25.408588409423828,35.34653020121812,25.393980026245117,34.89143318029513,25.160690307617188,34.96464976799335,25.34307289123535,35.32972478133675,25.52811050415039,35.061786283957,25.43160629272461,35.1713248929659,25.226648330688477,35.08080794305484,25.157148361206055,35.46638035861832,25.68260383605957,35.17139762292286,0.2146786101744351,25.411244010925294,0.20818067167069776
4,584,35.7707254581828,26.112403869628906,34.927566999770214,25.570453643798828,35.882083632103225,26.257728576660156,35.4142081331111,25.97992706298828,35.25683700594911,25.735849380493164,35.06033617710421,25.47049331665039,34.741281856590476,25.455238342285156,35.80710719649453,25.874347686767578,35.63326213128946,25.887596130371094,34.9727258407802,25.608591079711914,35.346613443137535,0.4132826590278301,25.79526290893555,0.27352454639163154
5,596,27.346293408496766,20.02783966064453,26.757341464832134,19.4974365234375,26.713910151931497,19.08571434020996,26.595194722434705,19.212820053100586,26.76174925419733,19.33846092224121,26.454660460088952,19.127471923828125,26.90773124915147,19.395238876342773,26.49378980888729,19.05494499206543,26.448180005171196,19.02857208251953,27.298479265608254,20.11098861694336,26.777732979079964,0.32369512538984735,19.3879487991333,0.39110154380855555
