,Subject,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,Mean_RMSE,STD_RMSE,Mean_MAE,STD_MAE
0,540,38.17788914427034,29.14777618364419,37.65149408952587,28.724246771879482,37.60271823868997,28.716786226685795,37.77564593904263,28.809469153515064,37.82102381190619,28.856241032998565,37.758551056751486,28.71477761836442,36.81049613273394,27.97044476327116,38.31771207709993,29.284074605451938,37.64164640074829,28.71219512195122,37.51283281142628,28.57560975609756,37.7070009702195,0.4047940215982373,28.75116212338594,0.34973423897716144
1,544,33.914727830321354,23.771998574991095,33.33603777177695,23.40256501603135,33.24169567447742,23.36872105450659,33.59329988161674,23.533665835411473,33.5051160825481,23.46918418240114,33.6187737006744,23.539365871036694,32.752453221399314,22.939080869255434,33.88410432383135,23.882436765229784,33.09826029178444,23.17705735660848,33.50793896433105,23.44531528322052,33.445240774276115,0.35375392488878893,23.452939080869253,0.2688177523959816
2,552,29.668620164209106,21.889877170690387,29.34765110121815,21.62600592969081,29.348553095966558,21.72215163066497,29.415504732683512,21.745446844557392,29.393358168934494,21.70351545955104,29.38279396363966,21.656077933079203,28.83101534801469,21.273189326556544,29.75387531306974,22.00381194409149,29.3134558772592,21.713257094451503,29.237094735935234,21.638712409995765,29.369192250093032,0.24757325497123817,21.69720457433291,0.18983879206761659
3,567,36.99285072644999,26.796812749003983,36.83436238519729,26.676405489154494,36.63439966208196,26.624612660469236,36.84103775492314,26.688357680389554,36.95010574136916,26.81186365648517,36.869768294322455,26.59451084550686,36.4784254065558,26.391323594510844,37.05695340263049,26.903497122620628,36.701794111646954,26.64364763169544,36.692493620522384,26.61177512173528,36.805219110569965,0.17802746080230766,26.67428065515715,0.141588691099167
4,584,40.90497256336293,30.35287033319952,40.414283757029985,29.825772782015253,40.35319279322251,29.799678843837818,40.532500303968526,29.91208350060217,40.579909123705015,29.970293054997992,40.582995531314104,30.02890405459655,39.54873409512239,29.0040144520273,40.93941044003736,30.41268566840626,40.34628809030139,29.83099156965074,40.09723228519593,29.53512645523886,40.429951898326024,0.4002780391680193,29.867242071457248,0.3993285583857151
5,596,30.30321130482074,21.636996336996337,30.04630126621611,21.44322344322344,29.905816749553512,21.372527472527473,30.05279847153499,21.449816849816848,29.99034032518659,21.41245421245421,30.021854066858058,21.38791208791209,29.30763942963897,20.834432234432235,30.359609035787347,21.696336996336996,29.813418568489034,21.354212454212455,29.85651277881185,21.271428571428572,29.965750199689722,0.29033745088311297,21.385934065934066,0.23235612813612286
