,Subject,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,Mean_RMSE,STD_RMSE,Mean_MAE,STD_MAE
0,540,21.154172266184876,15.660028449502134,20.942052407362485,15.448648648648648,21.10805364964389,15.57325746799431,21.009690915754412,15.480512091038406,21.161513954127322,15.66628733997155,21.082375858403456,15.530014224751067,21.309705680458535,15.824182076813656,21.103113372808394,15.631578947368421,21.157003017237773,15.671123755334282,21.280381177133474,15.781507823613087,21.130806229911464,0.11079504895895669,15.626714082503558,0.12152607399064698
1,544,20.57426176713156,14.542211232779936,20.411200269272655,14.35005298481102,20.63753392314168,14.533733663016601,20.457043758814542,14.381137407276581,20.72810135540809,14.644648534086896,20.56394941498863,14.490286117979512,20.673659858361898,14.698693041328152,20.576802568820046,14.561285764747439,20.655164432467007,14.630872483221477,20.734550452799528,14.688096079123984,20.601226780120566,0.10695713771922663,14.55210173083716,0.1197898332454411
2,552,18.108913611239288,13.567455375674554,17.93172328236935,13.378165213781653,18.104477474031693,13.552096305520964,17.994545089221806,13.429223744292237,18.13889495449475,13.609796596097967,18.203282266217673,13.58530510585305,18.23705805292901,13.721046077210461,18.109417909461094,13.631382316313823,18.16754732594903,13.628891656288916,18.31864765220753,13.775425487754255,18.131450761812125,0.11208571913566329,13.587878787878788,0.11917197001054487
3,567,22.729847515759843,16.15437688658905,22.489938337705766,15.855109961190168,22.721337184076866,16.135834411384216,22.556297256530552,15.9370418283743,22.72444946986604,16.144458818456233,22.69995716287159,16.096162138852954,22.84339318781039,16.326002587322122,22.650379075691674,16.097024579560156,22.69065645745028,16.047434238896077,22.898759125105425,16.322121604139717,22.700501477286842,0.11987684778998771,16.111556705476495,0.14704888749187
4,584,26.109161354001927,18.775518185373485,25.889970546380546,18.543214704732108,26.210722146032218,18.836136096988657,26.027105993223287,18.673445443879547,26.22137338832512,18.877590926867423,26.18990691260149,18.82870551427454,26.23975674029005,18.955025420414547,26.18529233388224,18.84513101290575,26.21284826487224,18.868596010950334,26.351382984903303,19.03597966366836,26.16375206645124,0.127660830527589,18.823934298005476,0.13801661584724878
5,596,19.986945595262778,14.659090909090908,19.788838371620606,14.398268398268398,19.974478666032763,14.577200577200577,19.86480278307312,14.432900432900434,20.084381877030605,14.707070707070708,20.028857247859218,14.584415584415584,20.058077651571676,14.814213564213564,19.98052803910599,14.647907647907648,20.071238566780515,14.664141414141413,20.170557028782593,14.86002886002886,20.00087058271199,0.11032857182826449,14.63452380952381,0.14618453050765592
