,Subject,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,Mean_RMSE,STD_RMSE,Mean_MAE,STD_MAE
0,540,33.83697094277939,25.729698708751794,33.81273859432576,25.705308464849356,34.076683715221755,25.995695839311335,33.85694438260531,25.8077474892396,33.56021163339184,25.50674318507891,33.872048040390204,25.830416068866572,33.85553323401569,25.932568149210905,34.18207640273329,26.16987087517934,33.678111705296566,25.705595408895267,33.6231670149434,25.747202295552366,33.83544856657032,0.1905086799235643,25.813084648493543,0.18365331557110054
1,544,27.19284205570685,19.64018525115782,26.75593951353363,19.430708941930888,26.898481779684385,19.935162094763093,27.300286892455958,20.045244032775205,26.878839896844763,19.728179551122196,26.669185547821126,19.339508371927323,26.650758228298372,19.6857855361596,26.995282544511326,19.953687210545066,26.704541295972234,19.82721767011044,26.676791956121367,19.62629141432134,26.872294971095,0.22901123930019027,19.721197007481297,0.22681902816344515
2,552,27.849089601165115,20.595933926302415,27.789857037630853,20.64633629817874,28.04122789160247,21.036425243540872,27.62565915278009,20.711986446421008,27.943345903141246,20.82549767047861,27.756229959544804,20.549767047861074,27.954666211238997,21.027107157983906,28.180027231594384,21.295637441761965,28.167361504578416,21.15713680643795,28.11357584818449,21.09995764506565,27.942104034146087,0.1865634285260244,20.89457856840322,0.2619308231072131
3,567,35.67315724537194,25.664010624169986,35.402791985796156,25.628596724214255,35.77945701161545,25.953519256308102,35.651173857707576,25.76936697653829,35.75133612228433,25.690571049136786,35.49309268229595,25.60823373173971,35.72613602171461,25.98052235502435,35.63332022704078,25.852146967684817,35.75456768338507,25.98804780876494,35.41761228329051,25.696325807879592,35.62826451205024,0.1412588316519925,25.783134130146085,0.14895976419381798
4,584,36.09602363863748,26.4387796065837,36.1177820338481,26.51425130469691,35.983163242452136,26.384183059012443,35.89536625173291,26.18426334805299,36.02871975424143,26.36571657968687,36.46995210668627,26.72059413890004,36.388791115229154,26.70132476916901,36.16628264005025,26.6527498996387,35.903797817386426,26.37133681252509,36.17800787375347,26.527097551184262,36.12278864740176,0.19002463075196582,26.486029706945004,0.17092852348849893
5,596,26.257250873677226,18.93992673992674,26.32949153595877,19.035531135531137,26.566352069319986,19.37106227106227,26.791400129129514,19.51978021978022,26.67371015038615,19.363003663003663,26.129453718904106,18.88241758241758,26.29555875535658,19.11208791208791,26.895994227663447,19.636263736263736,26.474509130475557,19.295970695970695,26.441247331386627,19.235531135531136,26.485496792225796,0.24617124815779398,19.23915750915751,0.2464938352308833
