,Subject,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,Mean_RMSE,STD_RMSE,Mean_MAE,STD_MAE
0,540,35.230595155449386,26.993974175035866,35.52742590438658,27.29296987087518,35.64339157521655,27.37532281205165,35.27127500879511,27.057962697274032,35.31316750362629,27.061119081779054,35.32247426141535,27.05681492109039,35.524550485980676,27.25681492109039,35.38546094775276,27.13744619799139,35.37602070253316,27.106456241032998,35.927353770128406,27.579340028694403,35.45217153152843,0.21120753180918062,27.19182209469154,0.18285210227751303
1,544,30.575416172154764,22.08229426433915,30.896398818011534,22.180619878874243,30.981630329662476,22.22550765942287,30.72166090688792,22.164588528678305,30.66935263919742,22.12326327039544,30.65701987849478,22.042394014962593,30.827195716201196,22.156394727467045,30.82131871303603,22.10545065906662,30.948248516079854,22.195226220163875,31.251892710762135,22.319558247239044,30.83501344004881,0.19762157868608118,22.15952974706092,0.07862891882026869
2,552,28.57689864137358,21.598898771706903,28.652432367236905,21.625158831003812,28.55913709712387,21.575180008470987,28.541995186032313,21.59678102498941,28.495517083543763,21.516730199068192,28.582959946834077,21.510800508259212,28.627017683745557,21.584074544684455,28.56876795260029,21.549343498517576,28.4847611532639,21.462092333756882,28.609990465326806,21.52943667937315,28.569947757708103,0.05331044193005377,21.554849639983058,0.05009196002714666
3,567,36.09473664234458,26.46525011066844,36.08102877483123,26.48339973439575,35.97728120869535,26.34971226206286,36.1361108001778,26.484285081894644,36.02231122110978,26.428508189464363,36.03086940726619,26.379371403275787,36.04239793453235,26.443559096945553,35.991508270035226,26.30323151837096,35.99877032969474,26.316069057104915,36.031262555778355,26.311199645861,36.040627714446565,0.04986218791259904,26.39645861000443,0.07314385045059965
4,584,36.313424422047014,26.472902448815738,36.70662822434336,26.807306302689682,36.69223285419648,26.7671617824167,36.3921888469581,26.473303894018468,36.482762657122684,26.55921316740265,36.52888849803188,26.635086310718588,36.728341862183264,26.81453231633882,36.516605330637525,26.593737454837413,36.622379979670235,26.686471296668003,37.092785674531754,27.06784423926134,36.60762383497223,0.21862515243328598,26.68775592131674,0.18300792473984465
5,596,28.772812258705706,20.99047619047619,28.91255605158246,21.096336996336998,28.850124268877426,21.07912087912088,28.69550257674307,20.97032967032967,28.751556734410304,21.004395604395604,28.814100384228222,21.015750915750917,28.896930645530517,21.080952380952382,28.711007959003773,20.987179487179485,28.773633382351594,21.015750915750917,28.970491492023005,21.18241758241758,28.81487157534561,0.09083061518147945,21.042271062271062,0.06595694443208176
