,Subject,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,Mean_RMSE,STD_RMSE,Mean_MAE,STD_MAE
0,540,35.55786199278365,27.070875179340028,35.60074717511013,27.05738880918221,35.84317427401349,27.3506456241033,35.62792337422752,27.12051649928264,35.80551643495177,27.311334289813487,35.79138102286181,27.25480631276901,35.51826171635524,27.033285509325683,35.71647880128579,27.157245337159253,35.7515859326568,27.26341463414634,35.931546587534555,27.344045911047345,35.714447731178076,0.134462045189663,27.19635581061693,0.1227832235004736
1,544,31.70890376284099,22.716423227645173,31.790315410529697,22.662629141432134,31.90020509564605,22.783042394014963,31.7087689415353,22.704310651941576,31.993052327360587,22.89561809761311,31.883544105892692,22.70359814748842,31.6301547643513,22.70965443534022,31.895598082766163,22.73352333452084,31.855967043341764,22.77841111506947,31.923392001688676,22.728892055575347,31.82899015359532,0.11496149360933057,22.741610260064128,0.06476131361846503
2,552,28.86808566881646,21.570520965692502,28.872186170519576,21.502329521389242,29.000438151183335,21.744599745870392,28.87165071766882,21.55188479457857,29.047121744853023,21.78526048284625,28.933989924957668,21.60864040660737,28.789807716930067,21.590004235493435,28.892731257629915,21.536213468869125,28.962703674739753,21.741211351122406,28.916293922532947,21.501482422702246,28.915500894983154,0.07414205555905719,21.613214739517154,0.10546063018133835
3,567,38.246798799575735,28.48738379814077,38.22341768001931,28.36564851704294,38.228078836236556,28.52722443559097,38.137057415271386,28.357237715803453,38.30017042323534,28.56662239929172,38.1443345882126,28.41212926073484,38.25469733357229,28.50818946436476,38.262455404498425,28.437804338202746,38.29928044613184,28.53652058432935,38.05201933273456,28.23683045595396,38.21483102594881,0.07963055288088874,28.443559096945553,0.10228669643098932
4,584,36.81941348192487,26.76756322761943,37.02597632097061,26.91328783621036,37.15042063708896,27.104375752709757,36.73118358358226,26.752709755118428,36.97527573469011,26.962264150943398,37.180972674534594,27.02769971898836,36.79946633582293,26.71698113207547,36.99742849136823,26.92533119229225,37.08890011096566,27.034122842232037,37.080369925361936,26.991569650742672,36.98494072963101,0.15414725762499765,26.919590525893216,0.13251314339098083
5,596,29.715821318449816,21.83809523809524,29.741043531283,21.803663003663004,29.810912032181708,21.925641025641024,29.716893728883793,21.86080586080586,29.86002755225195,21.973626373626374,29.765290649891654,21.878021978021977,29.642349172575113,21.77802197802198,29.727966877201922,21.81282051282051,29.87259270421292,21.998168498168496,29.7596169084012,21.864835164835164,29.761251447533304,0.0701777363934375,21.873369963369964,0.07262649308654961
