,Subject,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,Mean_RMSE,STD_RMSE,Mean_MAE,STD_MAE
0,540,34.585585108163656,26.647058823529413,34.90899831788512,26.847632711621234,34.407912573021804,26.56441893830703,35.04927459917344,26.883213773314203,34.607514464185506,26.667718794835007,34.82811245967238,26.749497847919656,35.421848018887594,27.269153515064563,35.157399714183086,27.106169296987087,35.045463401437864,26.821520803443327,34.5965307886671,26.648493543758967,34.86086394452776,0.3145725610483638,26.82048780487805,0.2214086570801145
1,544,30.61296367079892,22.8550053437834,31.54573813663212,23.434983968649803,30.80321836252073,23.066975418596368,31.217983955818866,22.81332383327396,30.609367534034906,22.456002850017814,30.600055184118673,22.346989668685428,31.511308978146392,22.988243676522977,31.4326599665969,23.371571072319203,31.019892028513482,22.639828998931243,30.905921578233656,23.245814036337727,31.02591093954146,0.3797047132159822,22.92187388671179,0.37107017318503305
2,552,28.45243919352067,22.01990681914443,29.034980144704566,22.33714527742482,28.316029796103262,21.90851334180432,28.64654840083985,21.88267683185091,28.75930875209535,22.160948750529435,28.015931511672985,21.24565861922914,28.423686813039282,21.58492164337145,28.930073869224394,22.296060991105463,28.47466308755946,21.708598051673018,28.923016310745457,22.615417196103348,28.59766778795053,0.3197798915412187,21.97598475222363,0.4012427119556338
3,567,36.78878011880092,27.17618415227977,37.728650712034295,27.94953519256308,36.88438920913124,27.199203187250998,37.08988519646125,27.440017706949977,36.554409833352786,26.997786631252765,36.45601083477112,26.591854803010182,36.78902679133017,27.535192563081008,37.565430596740775,27.996458610004428,36.99123521804943,27.30500221336875,37.713758478499464,27.870739265161575,37.05615769891715,0.4635225369604199,27.406197432492252,0.44884460908574664
4,584,35.80785849261833,25.9771176234444,36.36707343889298,26.197109594540347,36.00122104178409,26.114411882778,36.807041853264394,26.59855479727017,36.32424566267916,26.30509835407467,36.31892387216941,26.53994379767162,36.80419508143238,26.684464070654357,36.245798770930044,26.29987956643918,36.85129120653604,26.752308309915698,36.16489511528158,26.12043356081895,36.36925445355884,0.3536118973769197,26.358932155760737,0.2678983969321768
5,596,28.07632845975805,20.774725274725274,28.90861564669015,21.367399267399268,28.0526846050982,20.656410256410258,28.33234215029904,20.656410256410258,28.27203669013003,20.844322344322343,28.005912510238538,20.39047619047619,28.499354147299318,20.786813186813188,28.980137191675812,21.47032967032967,28.107420839114823,20.394871794871793,28.751754206715283,21.38058608058608,28.398658644701925,0.36758736998899627,20.87223443223443,0.3988925888018124
