,Subject,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,RMSE_1,MAE_1,RMSE_2,MAE_2,Mean_RMSE,STD_RMSE,Mean_MAE,STD_MAE
0,540,36.22921211697723,28.03758967001435,34.68190767863779,26.851362984218078,35.09436755586773,26.982209469153513,34.73193924930217,26.839024390243903,34.52116810517523,26.671736011477762,34.67058755371681,26.79913916786227,34.8952603738197,26.663414634146342,34.981831726377166,26.965853658536584,34.86274789539388,26.65136298421808,34.566617943330414,26.69899569583931,34.92356401985981,0.4933145864103591,26.91606886657102,0.41220005191718956
1,544,31.47633851005049,22.923762023512648,30.647541833707933,23.194157463484146,30.612032672682847,22.634128963306022,30.815255615114836,23.116850730317065,30.601487142275385,23.168507303170646,30.281060803603317,22.790879942999645,30.906036847911448,22.538297114356965,30.768971457623156,22.780904880655505,30.688599958918726,22.83184894905593,30.836803387798966,23.32597078731742,30.763412822968707,0.3050558771490884,22.9305308158176,0.26046864779432793
2,552,28.72986837285768,22.066073697585768,28.736030066327757,22.498941126641252,28.567522574416802,21.898348157560356,28.660790548527824,22.32020330368488,28.793595751307404,22.617958492164338,28.887299449102063,22.519271495129182,28.484277895905397,21.675984752223634,28.733642198398716,22.05506141465481,28.66732168316801,21.88818297331639,28.707266640763713,22.398559932232104,28.696761518077533,0.11244890472408799,22.193858534519272,0.31993857239815016
3,567,36.54843911780316,26.81629039397964,36.92712635000501,27.408145196989818,36.793707239557676,27.25276671093404,36.9599282906157,27.524568393094288,37.15935438641565,27.610004426737493,36.957766355989435,27.332005312084995,36.8666885201744,26.898627711376715,36.888535548209894,27.25011066843736,37.12990606970966,27.217795484727755,37.12396232916503,27.40681717574148,36.93554142076456,0.18301401936259504,27.271713147410356,0.2514875937979377
4,584,37.7059978276646,27.667603372139702,35.95819755071082,26.32316338819751,36.36229888785188,26.612605379365718,36.01238691395595,26.244881573665193,35.88893501293827,26.128061019670813,36.239252480054375,26.541549578482538,36.463236876567336,26.72701726214372,36.02107527977922,26.46126053793657,36.22554685414112,26.403452428743478,36.077273327438064,26.25451625853071,36.29542010111017,0.5283424703183341,26.536411079887596,0.43738653056427795
5,596,28.442165468838276,20.701831501831503,28.580591021708827,21.152014652014653,28.34774897227065,20.64835164835165,28.530319326623754,20.979853479853478,28.964428101346922,21.573260073260073,28.667686752444183,21.32857142857143,28.24945783783944,20.61062271062271,28.357645247023665,20.735531135531136,28.529208732731284,20.942857142857143,28.948305573977827,21.433699633699632,28.561755703480486,0.24140360633663968,21.01065934065934,0.34712222714497754
